IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.18.202.100,443,TRUE,SJC,North America,San Jose,191 ms,63853 kB/s
104.16.82.223,443,TRUE,SJC,North America,San Jose,146 ms,63705 kB/s
104.21.18.190,443,TRUE,SEA,North America,Seattle,185 ms,63461 kB/s
104.25.154.224,443,TRUE,LAX,North America,Los Angeles,187 ms,61531 kB/s
104.21.7.205,443,TRUE,LAX,North America,Los Angeles,186 ms,61434 kB/s
104.17.251.29,443,TRUE,SEA,North America,Seattle,181 ms,61234 kB/s
104.25.225.212,443,TRUE,LAX,North America,Los Angeles,191 ms,60210 kB/s
104.27.39.167,443,TRUE,LAX,North America,Los Angeles,186 ms,60196 kB/s
104.20.168.70,443,TRUE,LAX,North America,Los Angeles,189 ms,59414 kB/s
104.21.225.69,443,TRUE,SEA,North America,Seattle,176 ms,59042 kB/s
104.19.164.59,443,TRUE,SJC,North America,San Jose,161 ms,58226 kB/s
104.24.65.50,443,TRUE,LAX,North America,Los Angeles,188 ms,58089 kB/s
104.27.39.173,443,TRUE,LAX,North America,Los Angeles,190 ms,57979 kB/s
104.20.200.169,443,TRUE,LAX,North America,Los Angeles,181 ms,57456 kB/s
104.19.130.74,443,TRUE,LAX,North America,Los Angeles,184 ms,57453 kB/s
104.27.39.134,443,TRUE,LAX,North America,Los Angeles,186 ms,57173 kB/s
104.16.201.94,443,TRUE,SJC,North America,San Jose,190 ms,56972 kB/s
104.25.154.226,443,TRUE,LAX,North America,Los Angeles,186 ms,56652 kB/s
104.20.218.222,443,TRUE,LAX,North America,Los Angeles,182 ms,56593 kB/s
104.24.12.208,443,TRUE,LAX,North America,Los Angeles,187 ms,56441 kB/s
104.25.154.212,443,TRUE,LAX,North America,Los Angeles,193 ms,56338 kB/s
104.21.13.255,443,TRUE,LAX,North America,Los Angeles,188 ms,56310 kB/s
104.21.13.227,443,TRUE,LAX,North America,Los Angeles,187 ms,56007 kB/s
104.24.185.177,443,TRUE,LAX,North America,Los Angeles,189 ms,55902 kB/s
104.22.55.148,443,TRUE,SEA,North America,Seattle,146 ms,55890 kB/s
104.20.198.175,443,TRUE,LAX,North America,Los Angeles,187 ms,55737 kB/s
104.16.6.12,443,TRUE,HKG,Asia Pacific,Hong Kong,38 ms,55593 kB/s
104.25.73.243,443,TRUE,LAX,North America,Los Angeles,193 ms,55531 kB/s
104.27.39.168,443,TRUE,LAX,North America,Los Angeles,188 ms,55234 kB/s
104.20.158.225,443,TRUE,LAX,North America,Los Angeles,186 ms,54937 kB/s
104.18.74.205,443,TRUE,SEA,North America,Seattle,185 ms,54370 kB/s
104.20.96.160,443,TRUE,LAX,North America,Los Angeles,192 ms,54230 kB/s
104.20.198.183,443,TRUE,LAX,North America,Los Angeles,193 ms,54080 kB/s
104.16.247.239,443,TRUE,SJC,North America,San Jose,194 ms,54049 kB/s
104.19.249.78,443,TRUE,SJC,North America,San Jose,157 ms,53555 kB/s
104.25.226.195,443,TRUE,LAX,North America,Los Angeles,193 ms,53053 kB/s
104.20.218.45,443,TRUE,LAX,North America,Los Angeles,184 ms,52684 kB/s
104.27.39.142,443,TRUE,LAX,North America,Los Angeles,187 ms,52405 kB/s
104.25.225.98,443,TRUE,LAX,North America,Los Angeles,184 ms,50778 kB/s
104.22.58.241,443,TRUE,SEA,North America,Seattle,177 ms,50772 kB/s
104.26.15.206,443,TRUE,SEA,North America,Seattle,145 ms,50651 kB/s
104.27.100.176,443,TRUE,LAX,North America,Los Angeles,187 ms,50646 kB/s
104.21.14.2,443,TRUE,LAX,North America,Los Angeles,205 ms,50599 kB/s
104.21.7.156,443,TRUE,LAX,North America,Los Angeles,190 ms,50561 kB/s
104.27.109.198,443,TRUE,LAX,North America,Los Angeles,180 ms,50082 kB/s
104.19.103.27,443,TRUE,LAX,North America,Los Angeles,192 ms,49870 kB/s
104.21.75.50,443,TRUE,LAX,North America,Los Angeles,203 ms,49795 kB/s
104.27.7.80,443,TRUE,LAX,North America,Los Angeles,189 ms,49624 kB/s
104.25.154.237,443,TRUE,LAX,North America,Los Angeles,164 ms,49433 kB/s
104.25.223.99,443,TRUE,LAX,North America,Los Angeles,184 ms,48570 kB/s
104.16.75.66,443,TRUE,SJC,North America,San Jose,159 ms,48546 kB/s
104.25.154.206,443,TRUE,LAX,North America,Los Angeles,181 ms,47739 kB/s
104.27.7.107,443,TRUE,LAX,North America,Los Angeles,195 ms,47450 kB/s
104.27.39.132,443,TRUE,LAX,North America,Los Angeles,193 ms,47155 kB/s
104.21.32.254,443,TRUE,LAX,North America,Los Angeles,200 ms,46565 kB/s
104.26.11.239,443,TRUE,SEA,North America,Seattle,175 ms,45348 kB/s
104.20.198.191,443,TRUE,LAX,North America,Los Angeles,185 ms,44437 kB/s
104.20.197.77,443,TRUE,LAX,North America,Los Angeles,177 ms,44320 kB/s
104.18.38.228,443,TRUE,LAX,North America,Los Angeles,179 ms,44240 kB/s
104.27.39.175,443,TRUE,LAX,North America,Los Angeles,193 ms,44093 kB/s
104.25.226.194,443,TRUE,LAX,North America,Los Angeles,184 ms,44089 kB/s
104.27.39.176,443,TRUE,LAX,North America,Los Angeles,193 ms,44070 kB/s
104.27.39.157,443,TRUE,LAX,North America,Los Angeles,179 ms,43687 kB/s
104.17.250.20,443,TRUE,SEA,North America,Seattle,184 ms,43012 kB/s
104.24.210.135,443,TRUE,LAX,North America,Los Angeles,180 ms,42987 kB/s
104.20.218.158,443,TRUE,LAX,North America,Los Angeles,185 ms,42877 kB/s
104.19.173.6,443,TRUE,SEA,North America,Seattle,182 ms,42716 kB/s
104.19.143.69,443,TRUE,LAX,North America,Los Angeles,187 ms,42539 kB/s
104.27.39.180,443,TRUE,LAX,North America,Los Angeles,186 ms,41542 kB/s
104.27.7.209,443,TRUE,LAX,North America,Los Angeles,183 ms,40768 kB/s
104.27.39.179,443,TRUE,LAX,North America,Los Angeles,197 ms,40683 kB/s
104.24.148.16,443,TRUE,LAX,North America,Los Angeles,194 ms,40300 kB/s
104.22.17.79,443,TRUE,LAX,North America,Los Angeles,186 ms,39995 kB/s
104.19.103.42,443,TRUE,LAX,North America,Los Angeles,190 ms,39867 kB/s
104.16.49.160,443,TRUE,SEA,North America,Seattle,175 ms,39479 kB/s
104.24.10.24,443,TRUE,LAX,North America,Los Angeles,194 ms,39186 kB/s
104.18.10.236,443,TRUE,SEA,North America,Seattle,184 ms,39029 kB/s
104.22.59.250,443,TRUE,SEA,North America,Seattle,183 ms,38552 kB/s
104.18.18.185,443,TRUE,SEA,North America,Seattle,176 ms,38495 kB/s
104.20.219.160,443,TRUE,LAX,North America,Los Angeles,194 ms,38285 kB/s
104.21.94.57,443,TRUE,LAX,North America,Los Angeles,193 ms,38228 kB/s
104.21.56.125,443,TRUE,LAX,North America,Los Angeles,191 ms,37806 kB/s
104.17.153.238,443,TRUE,SJC,North America,San Jose,174 ms,37479 kB/s
104.24.235.42,443,TRUE,LAX,North America,Los Angeles,191 ms,36786 kB/s
104.24.210.131,443,TRUE,LAX,North America,Los Angeles,191 ms,36667 kB/s
104.25.232.57,443,TRUE,LAX,North America,Los Angeles,182 ms,36369 kB/s
104.27.109.214,443,TRUE,LAX,North America,Los Angeles,187 ms,35993 kB/s
